City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Yulara,AU,2020-09-28 23:52:17,-25.24,130.99,69.8,77,86,8.05
291,Haimen,CN,2020-09-28 23:52:17,23.19,116.61,77.0,78,75,6.71
292,Fairfield,US,2020-09-28 23:52:17,41.27,-73.32,69.8,83,1,4.7
293,Henties Bay,NA,2020-09-28 23:52:18,-22.12,14.28,51.01,86,0,6.78
294,Morada Nova,BR,2020-09-28 23:47:55,-5.11,-38.37,77.43,78,22,10.38
295,Ulladulla,AU,2020-09-28 23:52:18,-35.35,150.47,61.0,54,40,4.7
296,Lorengau,PG,2020-09-28 23:52:18,-2.02,147.27,83.86,74,55,9.84
297,Kiama,AU,2020-09-28 23:52:19,-34.68,150.87,62.01,64,41,5.01
298,Torbay,CA,2020-09-28 23:52:19,47.67,-52.73,64.0,100,90,23.04
299,Belousovka,KZ,2020-09-28 23:52:19,50.13,82.52,41.0,93,90,4.47
300,Nemuro,JP,2020-09-28 23:52:19,43.32,145.57,59.0,82,40,10.29
301,Hasaki,JP,2020-09-28 23:52:20,35.73,140.83,68.0,77,75,5.82
302,Beyneu,KZ,2020-09-28 23:52:20,45.32,55.2,46.33,59,24,3.27
303,Presidencia Roque Saenz Pena,AR,2020-09-28 23:52:20,-26.79,-60.44,65.44,42,0,7.56
304,Bull Savanna,JM,2020-09-28 23:52:20,17.89,-77.59,78.69,80,19,6.08
