City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Yenagoa,NG,75.2,overcast clouds,4.92,6.26,Amba Hotels Limited
471,Manzanillo,CU,88.7,overcast clouds,20.34,-77.12,Adrian & Tonia
472,Tura,IN,74.57,light rain,25.52,90.22,Hotel RIKMAN Continental
473,Sur,OM,81.54,clear sky,22.57,59.53,Sur Plaza Hotel
476,Aloleng,PH,81.25,overcast clouds,16.13,119.78,Agno Umbrella Rocks
481,Kiunga,PG,71.91,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
484,Bubaque,GW,82.74,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
488,Pipri,IN,73.54,overcast clouds,19.8,75.53,Sukhana River nilu and rushi home
489,Callaway,US,82.0,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
494,Garowe,SO,80.51,few clouds,8.41,48.48,Curubo Hotel
496,Natal,BR,80.6,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
498,Alta Floresta,BR,73.83,moderate rain,-9.88,-56.09,Floresta Amazonica Hotel
500,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
504,Atkinson,US,73.99,scattered clouds,42.84,-71.15,Atkinson Resort & Country Club
506,Kismayo,SO,78.31,overcast clouds,-0.36,42.55,Agan-Hotel
507,Salinopolis,BR,80.78,scattered clouds,-0.61,-47.36,Hotel Salinópolis
512,Samarai,PG,78.08,light rain,-10.62,150.67,Nuli Sapi
518,Myrtle Beach,US,75.99,clear sky,33.69,-78.89,Bay View Resort Myrtle Beach
522,Vaitape,PF,79.68,few clouds,-16.52,-151.75,Conrad Bora Bora Nui
523,Estelle,US,86.0,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
525,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
527,Ilebo,CD,72.55,broken clouds,-4.32,20.58,Hôtel des palmes
528,Gat,IL,78.01,clear sky,31.61,34.76,OlusHome
529,Soyo,AO,75.9,scattered clouds,-6.13,12.37,Hotel Mpampa
530,Nabire,ID,75.76,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
531,Bairiki,KI,82.4,few clouds,1.33,172.98,Tarawa Boutique Hotel
533,Kuching,MY,75.2,few clouds,1.55,110.33,Hilton Kuching
537,Brownsville,US,86.0,clear sky,25.9,-97.5,Hotel Alameda Express
539,Gaya,IN,78.8,mist,24.78,85.0,Hotel Viraat Inn
541,Belmonte,BR,82.4,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
542,Petauke,ZM,74.12,few clouds,-14.24,31.33,Newline Lodge
545,Port Keats,AU,79.2,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
547,Marang,MY,78.8,few clouds,5.21,103.21,DBarakah Homestay
548,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
550,Wilmington,US,80.6,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
551,Wanning,CN,79.54,overcast clouds,18.8,110.4,Paradise Hotel
553,Port Blair,IN,81.14,overcast clouds,11.67,92.75,Fortune Resort Bay Island
556,Kousseri,CM,82.4,light rain,12.08,15.03,Résidence le Palmier
562,Ojinaga,MX,89.6,clear sky,29.57,-104.42,Suites Las Palmas
564,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
566,Kudahuvadhoo,MV,81.95,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
567,Iberia,US,87.8,clear sky,29.95,-91.75,back to back rv park
570,Simplicio Mendes,BR,86.27,scattered clouds,-7.85,-41.91,Fidalgo
576,Libreville,GA,78.8,broken clouds,0.39,9.45,Hotel Re-Ndama
577,Trenggalek,ID,75.6,light rain,-8.05,111.72,OYO 2966 Hotel Atriaz
578,Tutoia,BR,80.29,broken clouds,-2.76,-42.27,Pousada Guará's
580,Jalu,LY,81.7,clear sky,29.03,21.55,Jalu Hotel
581,Guanhaes,BR,76.71,overcast clouds,-18.77,-42.93,CARAVELLE HOTEL Guanhães - MG
583,Ahuimanu,US,86.0,few clouds,21.44,-157.84,Paradise Bay Resort
588,Kontagora,NG,74.64,light rain,10.4,5.47,City Gate Inn
590,Jayanca,PE,81.0,scattered clouds,-6.39,-79.82,Rancho Santana Horseback Riding
592,Bandarbeyla,SO,77.5,broken clouds,9.49,50.81,REER XOOSHLE GROUP
593,San Antonio,US,90.0,clear sky,29.42,-98.49,Marriott Plaza San Antonio
596,Marsala,IT,75.0,few clouds,37.8,12.44,Villa Favorita Hotel e Resort
597,Anloga,GH,78.8,scattered clouds,5.79,0.9,Pin Drop Hotel
599,Biltine,TD,85.73,few clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
602,Sabha,LY,85.3,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
603,Aswan,EG,89.04,clear sky,24.09,32.91,Nuba Nile
604,Vila Velha,BR,82.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
605,Marsa Matruh,EG,75.2,clear sky,31.35,27.25,Beau Site
607,Padang,ID,76.93,overcast clouds,-0.95,100.35,Mercure Padang
608,Murray,US,78.01,few clouds,40.67,-111.89,Baymont by Wyndham Murray/Salt Lake City
610,Pringsewu,ID,73.63,scattered clouds,-5.36,104.97,Urban Style by Front One
616,Matamoros,MX,86.0,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
624,Oeiras,BR,89.17,few clouds,-7.03,-42.13,Hotel SESC Oeiras
625,Poso,ID,78.01,broken clouds,-1.4,120.75,Hotel 77 Poso
628,Limbang,MY,77.0,broken clouds,4.75,115.0,Purnama Hotel
629,Mayumba,GA,76.55,overcast clouds,-3.43,10.66,LIKWALE LODGE
640,Tonantins,BR,80.74,overcast clouds,-2.87,-67.8,Hotel Rei Davi
641,Abengourou,CI,71.94,light rain,6.73,-3.5,Hotel des Princes
643,Acarau,BR,80.55,clear sky,-2.89,-40.12,castelo pizzaria
645,Gizo,SB,81.01,light rain,-8.1,156.84,Imagination Island
651,Batangafo,CF,71.46,clear sky,7.3,18.28,OCHA Office
652,Kununurra,AU,77.0,overcast clouds,-15.77,128.73,Hotel Kununurra
653,Tanete,ID,77.74,overcast clouds,-3.94,119.78,Wisma Tri Multi
656,Riosucio,CO,73.4,scattered clouds,5.42,-75.7,Finca Cafe La Ermita
657,Simiti,CO,87.53,overcast clouds,7.96,-73.94,Hospedaje Anatulia
659,Mahajanga,MG,78.8,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
662,Dicabisagan,PH,78.01,light rain,17.08,122.42,Nancy Montanes Bernardo
666,Bambanglipuro,ID,76.82,few clouds,-7.95,110.28,Puri Brata
668,Hoshangabad,IN,73.22,few clouds,22.75,77.72,STARiHOTELS Hoshangabad
669,Nibong Tebal,MY,78.8,few clouds,5.17,100.48,K Garden Hotel Parit Buntar
675,Champerico,GT,70.0,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
680,Mogadishu,SO,78.35,overcast clouds,2.04,45.34,Hotel Juba
686,Sucua,EC,75.2,broken clouds,-2.47,-78.17,Hotel Barza
688,Soledade,BR,77.88,clear sky,-28.82,-52.51,Pousada Da Gringa
693,Mastic Beach,US,72.0,clear sky,40.77,-72.85,Brushwood House by Smith Point Beach
699,Kahului,US,80.6,light rain,20.89,-156.47,Maui Seaside Hotel
700,Payson,US,80.01,clear sky,40.04,-111.73,Quality Inn Payson I-15
701,Waingapu,ID,77.07,few clouds,-9.66,120.26,Pondok Wisata Elim
703,Ximei,CN,75.2,light rain,24.96,118.38,Nan'an Hotel
704,Tulum,MX,87.01,broken clouds,20.22,-87.47,Kin Ha
707,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
709,Eyl,SO,77.02,few clouds,7.98,49.82,Amiin Hotel
713,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
714,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
716,Alice Town,BS,83.12,broken clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
718,Pecos,US,87.8,clear sky,31.42,-103.49,Knights Inn Pecos
719,Sompeta,IN,77.99,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
